Designator,Mid X,Mid Y,Rotation,Layer
C296,241.2412,-66.9792,180.0,top
C297,236.9912,-66.9792,180.0,top
C298,232.7412,-66.9792,180.0,top
C299,228.4912,-66.9792,180.0,top
C3,117.219,-92.694,180.0,top
C30,145.06,-83.27,270.0,bottom
C300,224.2412,-66.9792,180.0,top
C301,219.9912,-66.9792,180.0,top
C302,215.7412,-66.9792,180.0,top
C303,211.4912,-66.9792,180.0,top
C304,207.2412,-66.9792,180.0,top
C305,202.9912,-66.9792,180.0,top
C306,198.7412,-66.9792,180.0,top
C307,194.4912,-66.9792,180.0,top
C308,190.2412,-66.9792,180.0,top
C309,185.9912,-66.9792,180.0,top
C31,142.82,-83.3,270.0,bottom
C310,181.7412,-66.9792,180.0,top
C311,177.4912,-66.9792,180.0,top
C312,173.2412,-66.9792,180.0,top
C313,168.9912,-66.9792,180.0,top
C314,164.7412,-66.9792,180.0,top
C315,245.4912,-62.729199,180.0,top
C316,241.241201,-62.7292,180.0,top
C317,236.9912,-62.7292,180.0,top
C318,232.7412,-62.7292,180.0,top
C319,228.4912,-62.7292,180.0,top
C32,139.01,-83.25,270.0,bottom
C320,224.2412,-62.7292,180.0,top
C321,219.9912,-62.729199,180.0,top
C322,215.7412,-62.7292,180.0,top
C323,211.4912,-62.7292,180.0,top
C324,207.2412,-62.7292,180.0,top
C325,202.9912,-62.7292,180.0,top
C326,198.741199,-62.7292,180.0,top
C327,194.491201,-62.7292,180.0,top
C328,190.2412,-62.7292,180.0,top
C329,185.9912,-62.7292,180.0,top
C33,122.8815,-81.419,270.0,top
C330,181.7412,-62.7292,180.0,top
C331,177.4912,-62.7292,180.0,top
C332,173.2412,-62.729199,180.0,top
C333,168.9912,-62.7292,180.0,top
C334,164.7412,-62.7292,180.0,top
C335,245.4912,-58.479201,180.0,top
C336,241.241201,-58.4792,180.0,top
C337,236.9912,-58.4792,180.0,top
C338,232.7412,-58.4792,180.0,top
C339,228.4912,-58.4792,180.0,top
C34,122.88,-82.67,270.0,bottom
C340,224.2412,-58.4792,180.0,top
C341,219.9912,-58.479201,180.0,top
C342,215.7412,-58.4792,180.0,top
C343,211.4912,-58.4792,180.0,top
C344,207.2412,-58.4792,180.0,top
C345,202.9912,-58.4792,180.0,top
C346,198.7412,-58.479201,180.0,top
C347,194.4912,-58.479201,180.0,top
C348,190.2412,-58.4792,180.0,top
C349,185.9912,-58.4792,180.0,top
C35,142.77,-76.67,90.0,bottom
C350,181.7412,-58.4792,180.0,top
C351,177.4912,-58.4792,180.0,top
C352,173.2412,-58.479201,180.0,top
C353,168.9912,-58.4792,180.0,top
C354,164.7412,-58.4792,180.0,top
C355,245.4912,-54.2292,180.0,top
C356,241.2412,-54.2292,180.0,top
C357,236.9912,-54.2292,180.0,top
C358,232.7412,-54.2292,180.0,top
C359,228.4912,-54.2292,180.0,top
C36,140.72,-76.65,90.0,bottom
C360,224.2412,-54.2292,180.0,top
C361,219.9912,-54.2292,180.0,top
C362,215.7412,-54.2292,180.0,top
C363,211.4912,-54.2292,180.0,top
C364,207.2412,-54.2292,180.0,top
C365,202.9912,-54.2292,180.0,top
C366,198.7412,-54.2292,180.0,top
C367,194.4912,-54.2292,180.0,top
C368,190.2412,-54.2292,180.0,top
C369,185.9912,-54.2292,180.0,top
C37,138.63,-76.64,90.0,bottom
C370,181.7412,-54.2292,180.0,top
C371,177.4912,-54.2292,180.0,top
C372,173.2412,-54.2292,180.0,top
C373,168.9912,-54.2292,180.0,top
C374,164.7412,-54.2292,180.0,top
C375,245.4912,-49.9792,180.0,top
C376,241.2412,-49.9792,180.0,top
C377,236.9912,-49.9792,180.0,top
C378,232.7412,-49.979199,180.0,top
C379,228.491201,-49.9792,180.0,top
C38,136.48,-76.63,90.0,bottom
C380,224.2412,-49.9792,180.0,top
C381,219.9912,-49.9792,180.0,top
C382,215.7412,-49.9792,180.0,top
C383,211.491199,-49.9792,180.0,top
C384,207.241201,-49.9792,180.0,top
C385,202.9912,-49.9792,180.0,top
C386,198.7412,-49.9792,180.0,top
C387,194.4912,-49.9792,180.0,top
C388,190.2412,-49.9792,180.0,top
C389,185.991199,-49.9792,180.0,top
C39,134.38,-76.61,270.0,bottom
C390,181.741201,-49.9792,180.0,top
C391,177.4912,-49.9792,180.0,top
C392,173.2412,-49.9792,180.0,top
C393,168.9912,-49.9792,180.0,top
C394,164.7412,-49.9792,180.0,top
C395,245.4912,-45.7292,180.0,top
C396,241.2412,-45.7292,180.0,top
C397,236.9912,-45.7292,180.0,top
C398,232.7412,-45.729201,180.0,top
C399,228.491201,-45.7292,180.0,top
C4,117.119,-86.894,0.0,top
C40,139.72,-80.27,90.0,bottom
C400,224.2412,-45.7292,180.0,top
C401,219.9912,-45.7292,180.0,top
C402,215.7412,-45.7292,180.0,top
C403,211.4912,-45.729201,180.0,top
C404,207.2412,-45.729201,180.0,top
C405,202.9912,-45.7292,180.0,top
C406,198.7412,-45.7292,180.0,top
C407,194.4912,-45.7292,180.0,top
C408,190.2412,-45.7292,180.0,top
C409,185.9912,-45.729201,180.0,top
C41,141.96,-81.29,90.0,bottom
C410,181.7412,-45.729201,180.0,top
C411,177.4912,-45.7292,180.0,top
C412,173.2412,-45.7292,180.0,top
C413,168.9912,-45.7292,180.0,top
C414,164.7412,-45.7292,180.0,top
C415,245.4912,-41.4792,180.0,top
C416,241.2412,-41.4792,180.0,top
C417,236.9912,-41.4792,180.0,top
C418,232.7412,-41.4792,180.0,top
C419,228.4912,-41.4792,180.0,top
C42,143.98,-81.25,90.0,bottom
C420,224.2412,-41.4792,180.0,top
C421,219.9912,-41.4792,180.0,top
C422,215.7412,-41.4792,180.0,top
C423,211.4912,-41.4792,180.0,top
C424,207.2412,-41.4792,180.0,top
C425,202.9912,-41.4792,180.0,top
C426,198.7412,-41.4792,180.0,top
C427,194.4912,-41.4792,180.0,top
C428,190.2412,-41.4792,180.0,top
C429,185.9912,-41.4792,180.0,top
C43,144.89,-79.17,270.0,bottom
C430,181.7412,-41.4792,180.0,top
C431,177.4912,-41.4792,180.0,top
C432,173.2412,-41.4792,180.0,top
C433,168.9912,-41.4792,180.0,top
C434,164.7412,-41.4792,180.0,top
C435,245.491199,-37.2292,180.0,top
C436,241.241201,-37.2292,180.0,top
C437,236.9912,-37.2292,180.0,top
C438,232.7412,-37.2292,180.0,top
C439,228.4912,-37.2292,180.0,top
C44,128.52,-41.27,90.0,top
C440,224.2412,-37.2292,180.0,top
C441,219.991201,-37.2292,180.0,top
C442,215.7412,-37.2292,180.0,top
C443,211.4912,-37.2292,180.0,top
C444,207.2412,-37.2292,180.0,top
C445,202.9912,-37.2292,180.0,top
C446,198.741199,-37.2292,180.0,top
C447,194.491201,-37.2292,180.0,top
C448,190.2412,-37.2292,180.0,top
C449,185.9912,-37.2292,180.0,top
C45,112.53,-66.95,270.0,top
C450,181.7412,-37.2292,180.0,top
C451,177.4912,-37.2292,180.0,top
C452,173.241199,-37.2292,180.0,top
C453,168.9912,-37.2292,180.0,top
C454,164.7412,-37.2292,180.0,top
C455,160.39,-43.72,0.0,top
C456,160.33,-65.47,0.0,top
C457,160.21,-69.16,0.0,top
C458,160.03,-103.6,0.0,top
C459,160.45,-54.82,0.0,top
C46,125.54,-112.84,90.0,top
C460,160.065152,-107.3,0.0,top
C461,144.22,-91.98,0.0,bottom
C462,160.38,-51.04,0.0,top
C463,160.29,-61.36,0.0,top
C464,160.09,-99.93,0.0,top
C465,136.5,-94.73,135.0,bottom
C466,149.08,-92.16,0.0,bottom
C467,136.46,-92.63,270.0,bottom
C468,125.71,-72.79,270.0,bottom
C469,160.38,-47.39,0.0,top
C47,138.23,-44.46,90.0,top
C470,123.01,-72.715001,270.0,bottom
C471,127.26,-113.39,270.0,top
C48,138.99,-44.46,90.0,top
C49,150.85,-39.28,180.0,top
